,LAG1,LAG2,LAG180,LAG365,MA3,MA5,MA7,MA30,MAP7-3,M-X,M-Y,DE-TREND,DATE
2562952,-2.8982318846839483,-3.7314498089472767,8.622426338847095,-17.856222983201828,-3.0834170698691334,-5.031449808947276,-7.858318526861397,-7.122599788164796,-11.072258013937093,True,False,-2.6205695159761753,2012-01-10
2562953,-2.6205695159761753,-2.8982318846839483,8.122310929777086,-17.467449503382944,-2.8613102567169157,-3.6315652180172804,-5.667957745455212,-6.863455937975543,-10.524754375388053,True,False,-3.0651293694906236,2012-01-11
2562954,-3.0651293694906236,-2.6205695159761753,7.622195520707088,-16.800898245786286,-4.00957381393507,-3.7316806270872873,-4.937914424366488,-6.800608384082585,-9.90582216541044,True,False,-6.343022556338411,2012-01-12
2562955,-6.343022556338411,-3.0651293694906236,7.122080111637079,-18.523235877078513,-6.546726260042114,-5.031796036157293,-4.961839357246016,-6.893316385745183,-7.858318526861397,True,False,-10.232026854297304,2012-01-13
2562956,-10.232026854297304,-6.343022556338411,6.67752025812263,-18.856684619481847,-10.04684166911212,-7.1652447785606315,-6.065129369490626,-7.191579942963338,-5.667957745455213,True,False,-13.565475596700644,2012-01-14
2562957,-13.565475596700644,-10.232026854297304,7.9551826268304,-16.356800028551852,-11.787697818922865,-8.954249076519528,-7.184292397608251,-7.476880537218528,-4.937914424366489,True,False,-11.56559100577065,2012-01-15
2562958,-11.56559100577065,-13.565475596700644,10.899511662204837,-13.023582104288526,-12.472998413178056,-10.798808930033976,-8.525677647948097,-7.758477427770016,-4.961839357246016,True,False,-12.287928637062874,2012-01-16
2562959,-12.287928637062874,-11.56559100577065,11.399396253134832,-13.1903641800252,-9.824965674099914,-10.654479894659538,-8.954364485589531,-7.619703947951132,-6.065129369490626,True,False,-5.621377379466217,2012-01-17
2562960,-5.621377379466217,-12.287928637062874,12.065947510731494,-10.24603514465076,-7.4547107127995496,-9.499039748173988,-9.152892593072236,-7.41241194961373,-7.1842923976082504,True,False,-4.454826121869555,2012-01-18
2562961,-4.454826121869555,-5.621377379466217,10.6769432127726,-8.635039442609655,-7.140011307054742,-9.054710712799551,-9.867293716427955,-7.6069718031281806,-8.525677647948099,True,False,-11.343830419828453,2012-01-19
2562962,-11.343830419828453,-4.454826121869555,10.454605581480369,-10.02404374056855,-8.047534123532154,-8.41038167742511,-9.597567855656694,-7.786716841827816,-8.954364485589531,True,False,-8.343945828898455,2012-01-20
2562963,-8.343945828898455,-11.343830419828453,10.621156839077027,-9.413048038527442,-7.103205088157718,-6.277163753161785,-7.891334058377494,-7.8609063249718965,-9.152892593072236,True,False,-1.621839015746243,2012-01-21
2562964,-1.621839015746243,-8.343945828898455,6.1210414300070255,-15.30205233648634,-5.8440612379684636,-6.66616805112068,-7.320020896018927,-8.151762474782643,-9.867293716427955,True,False,-7.56639886926069,2012-01-22
2562965,-7.56639886926069,-1.621839015746243,6.065370465381459,-16.857723301111903,-5.640472943334765,-7.3218390157462405,-6.669342654295282,-8.235211217185983,-9.597567855656692,True,False,-7.733180944997363,2012-01-23
2562966,-7.733180944997363,-7.56639886926069,8.843032834089232,-14.357838710181909,-5.418366130182548,-5.2441766470384685,-6.002791396698622,-7.981622922552284,-7.891334058377491,True,False,-0.9555185762895917,2012-01-24
2562967,-0.9555185762895917,-7.733180944997363,10.842917425019234,-10.191287452585248,-4.770333391104406,-4.69984761166403,-6.169573472435293,-7.8872938871778455,-7.320020896018927,True,False,-5.6223006520262615,2012-01-25
2562968,-5.6223006520262615,-0.9555185762895917,11.398357571504782,-7.469180639433029,-2.826004355729966,-4.755518576289591,-4.820482532298949,-7.787409296247852,-6.669342654295283,True,False,-1.9001938388740456,2012-01-26
